group_id,entity_name,entity_value,extracted_text
748919,item_weight,500.0 gram,"100% natur

"
916768,item_volume,1.0 cup,"gepragtes

designed in

lizenzierte und geschutzte designs
"
459516,item_weight,0.709 gram,"serving size: 1 tablet (0.709 g) | each serving contains (approx. values):

ingredient oty. / serving

*phosphocomplex® silybin (sillybum marianum) 200 mg
dandelion (taraxacum officinale) leaf extract - 10:1 100 mg
kutki (picrorhiza kurroa)rhizome extract - 0.5% bitters 50 mg
kasani (cichorium intybus) seed extract - 1% bitters 25 mg
punarnava (boerhavia diffusa) root extract - 0.07% alkaloids 25 mg
bhui amla (phyllanthus amarus) wp extract - 0.5% bitters 25 mg
amla (phyllanthus emblica) fruit extract - 10% tannins 25 mg
licorice (glycyrrhiza glabra) root extract - 5% glycyrrhizin 25 mg
vitamin e 10 mg
piper nigrum fruit extract — 95% piperine 5mg

nutrients qty. / serving

energy 3.04 kcal
carbohydrate 051g
(sugars) 02g
protein 0.049
fat 0.09 g

""zrda values established as per icmr 2010 for sedentary lifestyle-men.
**z rda not established by icmr

"
459516,item_weight,0.709 gram,
731432,item_weight,1400 milligram,"high strength

psyllium

husk

"
731432,item_weight,1400 milligram,"¢ naturally-sourced psyllium

—_

* high strength 1400mg
per serving
ta a aes ein laie ss

plantago
co
plant seeds a

aoe 365 vecaul)

|
a

* suitable for vegans & vegetarians

 ,

horbaach
"
731432,item_weight,1400 milligram,"directions: for adults, take two (2) vegan capsules
daily, preferably with a meal. do not exceed stated dose.

nutrition information

typically per daily dose

high st 0 nsti it erte
psyllium husk powder 1400mg

_psyllium
husk

plantago ovata
plant seeds

ingredients: psyllium husk powder, capsule shell (hy-
droxypropylmethylcellulose), anti-caking agents (mag-
nesium salts of fatty acids, silicon dioxide).

may contain sesame seeds & mustard. for allergens,
see the ingredients in bold.

notice: take this product with 220ml of fluids. taking
this product without adequate fluid may cause the pos-
sibility of choking. do not use this product if you have
difficulty swallowing. if you experience chest pain, vom-
iting or difficulty in swallowing or breathing after taking
this product, seek immediate medical attention. do not
take before sleeping. fibre products can affect the ab-
sorption of many medications. do not take this product
within 1.5 hours of taking medication.

free from: artificial colour, artificial flavour, artificial
sweetener, preservatives.

suitable for vegetarians & vegans

hu16790 c

3 6 a

horbaach
"
731432,item_weight,1400 milligram,"©)

vegan

wo

wheat
free

soy

psy
a: & (a)

‘ dairy
| 365° ecs y ple
é
free from

preservatives

horbaach
"
731432,item_weight,1400 milligram,"horbaach

100%

highest
quality

high strength

psyllium
husk

plantago ovata
plant seeds

pe

horbaach
"
731432,item_weight,1400 milligram,"new look.
same nea les quality.

mame psyllium

plant seeds

ih y/
\ 4
food
supplement oo) capsules a
365 vegan
~— io) cars les

~ horbaach
"
149159,item_weight,30.0 kilogram,"grobe kapazitat, tiragfahigkeit bis zu 30kg

4m das material ist ca. 5mm dick und die fugen sind verstarkt, so dass
w es sehr stark ist.

tragfahigkeit bis zu 30kg, kann eine vielzahl von gegenstanden ;

— %
oj vi i . ss ae
. . of
\ . ..
be x

©
| 39] aufnehmen.

_—

<o

"
308856,item_weight,10 kilogram to 15 kilogram,")

wildfang

35cm

14cm 15cm 16cm

<10 kg 10-5kg 15-25kg 2545kg >45kg

"
281678,item_weight,3.53 ounce,"‘
f 5
&i helps in * )
“osteoarthritis helps in
mee digestion
“reduces.
inflammation
me
(ml

anti-bacterial
properties ,

helps in

"
281678,item_weight,3.53 ounce,"promotes —™

digestive health
high in antioxidants
+ combats diseases

"
281678,item_weight,53 ounce,"==

tle srs wih he fod yo eh,

ne bodys 9 one ond puting in zw ond nol
{eos th ky tole on eficedy. we ot
‘sotch organs balers ha he st sep ober

packaging changed

moca ha le cacork of frman end s24 pesue in cota co keeps homenal blocs.

former groups oll of whom pros genic how to use

ferigend vow rotrel psc tee redkce. san medina heb, spin con bn made no hol

fork, ging you food ot it wos moon
sieved completly nota

www.sorichorganics.com

nutritional facts
jssal (wos rotis sth

eisai = calories 80kcal
ea eb cenpem tdet toll corbshydrote 159
ae totol sugor_ 09
bho erercacemr nts diet fre 8a
peyote total fot 29
cun poca ay ot ondex oe ‘sood fo 09
tu end eds do ali protic eas ons
eco protein $e
storge lrarcion: sie naa & ry
oie keer the roi! scl 1 presew® aes erone 12 months from the date of packaging,

cetee win 2 meta copie pdt
suomen net wt? 100g (2.300
i neda pork sha nogar + £300/-
new bah 1600) nd lea eon
rigin : indio. ‘eslasandla bore
porta tl
pebreeteeren :
batch no.
testecre, a md
biesyanconass seely faery peers
lewbileine ier sepa,  aniantiear eso

ne, eo. condo be god fed so pce in voce
aries sing pups
ingredients: seam ho teo.

spearmint
green tea

© noi smonowas

(ur body is temple ond puting in raw ond
natural foods isthe key to make it run efficiently
we ot sorich organics believe that the first step to
«beter life sors with the food you eat.
we work with o stable network of formers ond
former groups, all of whom procice orgonic
ing and grow naturel, pestcde-free produce.
yo you the bounty straight from moher
eorih, giving you food os it wos meant to be
enjoyed-completely natural

www. sorichorganics.com.

idcrafted
forfreshness farmers quality
nosecrt all wewerkdeesy —_alproduc ore
imo, wihetoman ala sch
os. yates

ution : rocked in foci thot hoods alher nus ond
seeds. do not buy the produc! fs lampered or domoged.
‘storage instructions : store in 0 cool: |
tepokdilalupeaetomes no”
manufactured and marketed by:
sorich organics pvt. lid,

plot no-63, block 8, sector-63, noido, goutom
buddha nogar, utor pradesh - 201301

for customer feedback :
conf ws 491-7303330675
‘email: core@sorichorgonics.
locabok com /srchorgeis/
‘ginstogram.com/sorich.organics/

organic spearmint herbal tea.
‘spearmint is that miraculous herb which take

‘care of you inside and out. high potassium level

ofthe herb keeps blood pressure in conta. i oso keeps
hormonal balance.

direction of use

‘semi medicinal herb, spearmint can be made inlo herbal.
fea, it can also be ground, if used as a spice in vegelable
caues or for sprinkling purposes.

ingredients : organic spearmint pure herb,
country of origin : india

rut o is a& a
calories 80kcal tope | ss
total carbohydrate (anu
total sugar
dietry fibre ‘3
gece! ion
5

sodium
protein ———

consume within 2 months after opening he pocket.
net weight : 100 g (3.53 oz)
mrp re: <

batch no. :

pkd. :

use by :

onetanie je |

spearmint
green tea

net weight : 100 g (3.53 07)

in

note: packaging may vary for a brief period of time.
"
281678,item_weight,100 gram,"x loose packaging
ng's impurities added

oiheg 4 does not prewedcaly: *
brands . ) ,

x

added preservatives

ca ; ww
vp air-tight packaging va a a sg
ax impurities free wy ad
i orcanic >
brews posily y * lora a

| green tea
"
731432,item_weight,200 gram,"v

vv.

oro tv it now

instant energy

"
731432,item_weight,1 kilogram,"b, a 4

vvvvvyv

>
>
>
>
>
>
ld
ld

lee see
instant energy

vv
b ah 2

"
731432,item_weight,200 gram,
731432,item_weight,200 gram,"wv vv.
ww vv,"" vy.
lovin ow

vv vvvvvvyw
vv ad v.

energy

ainstant: 4. :

&
:
.
n
=
x
a
:
yn

ca

"
731432,item_weight,200 gram,
252585,item_volume,4.0 gallon,"one size fits all

stretchable and black fabric blocks
form fitting the light

expert-grade gel
non-toxic no smell

flexible comfortable for
cold or hot therapy .
3.11n

ul e's

22.2 in
"
299791,item_weight,2.7 gram,"5928

925 sterling silver
18k gold plated

k 7

0.28 inch

(7 mm)

high polish

och

0.07 inch a
(1.8 mm) wt

16+2 inch extend chain
net weight: 2.7g (405mm+50mm)

manual measurement, the size may be slightly different from the physical.
"
884560,item_weight,112 gram,"7s to use knorr
pe pots:

either: dissolve 28
the pot into

500ml of boili
ae ee inq or:add the
pot directly
to dish.

"
179080,item_weight,4.1 kilogram,"9.10m/3.58%

1san
abv 17-b/ny nepa er! 2 si

type

battery cell

fj charger

th charger output current

= usb port

g) bms

a battery weight

downtube battery

13ah: 2500m-a-h
17.5ah: sam-sung/l-g/cell
3500mah send it randomly

vv

a8v 13ah (2a)
a8v 17.5ah (4a)

vv

30a

a1kg / 44kg
"
179080,voltage,48.0 volt,"9.10m/3.58%

1san
abv 17-b/ny nepa er! 2 si

type

battery cell

fj charger

th charger output current

= usb port

g) bms

a battery weight

downtube battery

13ah: 2500m-a-h
17.5ah: sam-sung/l-g/cell
3500mah send it randomly

vv

a8v 13ah (2a)
a8v 17.5ah (4a)

vv

30a

a1kg / 44kg
"
866516,item_weight,158.0 gram,"product name harvest festival doll

15x9x26cm
52x42x40cm
polyester material

craftsmanship manual

grey . orange

product wei 158g

"
866516,item_weight,158.0 gram,
459516,item_weight,5000 milligram,"® wy.
nuvida “4b

cranberry extract
high strength extract for
natural urinary tract and bladder support
suitable for vegetarians and vegans

5000mg 90 tablets
food supplement
"
524635,item_weight,18.55 gram,"6s1g feqpusma2sry7 aas

lad nasd
ss os

50 ml

carvomin

verdauungstropfen

18,55 g/20 ml
flussigkeit zum einnehmen

wirkstoff:

auszug aus einer mischung
von angelikawurzeln,
benediktenkraut und
pfefferminzblattern

kl3nge

pharma

"
524635,item_weight,18.55 gram,"are regen en 5 spn
ae ee

iia oi
ae

om yor !
carvomin bi

ef
verdauungstropfen if! if

y f
18,55 g/20 ml ni

flussigkeit zum einnehmen

i! ‘
iy
ie 50 ml wirkstoff: <=:
»  benediktents
pflanzliches *°
6 peal! verdauungstropfen kit ena”

schung vor
18,55 g/20 ml jermingblit”

enthalt 98 re
mittel fir kine
lager. ds *""
usschlesic:

flussigkeit zum
€innehmen

wirkstoff:
auszug aus einer mischung
von angelikawurzeln,

benediktenkraut und (»
pfefferminzblattern (es
ee
k len gj e zur anwendung

bei erwachsenen
pharma

"
524635,item_weight,18.55 gram,"aa eso a
wa be ss sssi tss
ssns ss sss

sense

~~ os

50 ml

carvomin

verdauungstropfen

18,55 g/20 ml
flussigkeit zum einnehmen
verdauungstropfen  {oit enthat? °

18,55 g/20 ml mischung vo"" #8

wirkstoff: 3,99 fermngbatt
auszug aus einer mischung peacecelt zum ental 38 «
von angelikawurzeln, innehmen mittel fr kitt

benediktenkraut und lagen 0:
pfefferminzblattern (2
klenge \@e

pharma zur anwendung

bei erwachsenen

50 ml witkstoff: as
» o benediktenka’

ca fvomin pienzictss

verdauungs's*

klinge pharr

"
524635,item_weight,18.55 gram,"50 ml

carvomin

verdauungstropfen

18,55 g/20 ml
flussigkeit zum einnehmen

wirkstoff:

auszug aus einer mischung
von angelikawurzein,
benediktenkraut und

pfefferminzblattern

kl3nge

pharma

"
524635,item_weight,18.55 gram,"wan sess set ts ss
so sss sss
wss sss

yo os

y
uy * 50 mi
my c
sy “th d rvo n
sy, verdauungstropfen
_ ey 18,55 g/20 ml
wy at 4 3,99 8/¢ .
kr ""y fliissigkeit zum einnehmen
“ty yy
wht * at
‘ f h
8 ith ;
ca ‘i
i ty igs
nn
titislaty a
saat
he fay
he qt ne hy
ne an
mh
byte ry
lath, '
mt ty wirkstoff:
ug, auszug aus einer mischung
ty \ von angelikawurzeln,
| benediktenkraut und
, pfefferminzblattern
in klznge
pharma

"
730429,item_weight,50.0 gram,"a¢
t .

‘

.
usbycharging ports
"
881883,item_weight,26.0 gram,"how to use

place the curtain between the
counterweight and the magnet

4cm/1.6in
| weicht-2eoam 26g @

ra h,

load-bearing
metal block
"
